,ROOM,FLOR,AREA,TYPE,EVAL,PRIC,OLD,SUBC,SUBD,CEDT,DISC
287,3,1,143.55,2,1,120377,2004,2,899,5.342930227429744,3
288,4,2,266.01,1,1,103004,2005,2,866,4.437893639781176,3
289,1,1,55.47,2,0,117722,2005,1,538,2.9976174155722757,3
290,2,2,63.75,1,1,107451,2005,1,300,3.7370676329790466,3
291,2,0,80.49,2,1,109331,2004,3,630,2.817838974105503,3
292,2,1,75.48,1,1,73795,2007,3,266,4.808076420731245,3
293,2,1,118.64,2,1,119690,2005,1,426,3.6121370810991547,3
294,2,2,71.7,2,0,102511,1998,2,568,4.230286818326689,3
295,2,1,77.58,2,1,109565,2004,2,374,2.6067357291019584,3
296,2,2,68.7,2,0,113538,2003,2,483,3.0416943693450538,3
297,1,2,52.25,2,0,105072,2003,3,474,2.07101530087905,3
298,2,1,55.12,2,0,137519,1996,2,450,5.544109278166503,3
299,2,0,61.11,2,1,106366,1994,1,807,5.930271432003424,3
300,2,2,57.67,2,0,106642,1990,2,690,2.770359888737264,3
301,2,1,56.34,2,0,92297,1980,2,797,3.730268921567941,3
302,2,0,70.03,0,1,105098,2008,1,460,3.871683427780007,3
303,2,0,58.79,1,1,111924,1988,2,834,5.93994007565727,3
304,2,1,65.47,2,1,102337,1987,1,181,3.7176252590057492,3
305,2,0,46.79,2,1,112204,1980,1,181,3.7176252590057492,3
306,1,1,45.85,2,0,128245,1997,3,550,2.163296508587029,3
307,3,2,104.62,1,1,46741,2012,1,708,23.26414289945908,3
308,3,1,162.92,2,1,45299,2015,1,684,23.11929679872427,3
309,3,0,139.35,2,0,26481,2004,1,533,31.608618574620767,3
310,2,2,90.23,1,1,30478,2010,2,791,30.094131165811934,3
311,3,2,128.64,2,1,47342,2014,1,930,23.468757104879348,3
312,3,2,95.46,2,1,43788,2017,1,532,27.908946965789205,3
313,2,1,89.3,1,1,47929,2014,1,338,22.467935635847684,3
314,3,2,88.62,2,0,25728,2004,1,399,28.772823020922093,3
315,3,2,162.92,2,1,44071,2015,1,684,23.11929679872427,3
316,2,1,88.12,1,1,31208,2011,2,791,30.094131165811934,3
317,2,2,80.74,2,0,25019,2001,1,391,31.330969884652156,3
318,3,1,87.29,2,1,45252,2012,1,233,24.426459086075937,3
319,2,0,87.13,1,1,41662,2013,1,519,22.219840546545917,3
320,2,1,89.04,1,1,31335,2009,2,791,30.094131165811934,3
321,2,0,89.29,1,0,30127,2009,2,791,30.094131165811934,3
322,2,2,85.39,1,1,44385,2014,1,581,22.342200022028763,3
323,2,0,53.13,1,1,40467,2014,1,591,22.781173674833422,3
324,2,1,80.8,2,1,42451,2016,1,994,23.60809271543128,3
325,2,2,88.72,1,1,46777,2012,1,708,23.26414289945908,3
326,2,1,88.01,2,1,23748,2010,1,259,34.722857962977386,3
327,3,2,108.53,2,1,42293,2015,1,603,19.541102023092744,3
328,2,1,73.73,2,1,26991,2016,1,253,35.97002362888286,3
329,3,1,95.64,2,1,43392,2016,1,994,23.60809271543128,3
330,2,2,69.23,1,1,37990,2016,1,722,31.376547112956658,3
331,3,1,137.94,2,0,26606,2004,1,533,31.608618574620767,3
